stdio    D C:\LIBS5302Build\A5211\allegro\src\file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\Zach\Documents\GitHub\adventure\adventure\bin\Debug\allegro5.cfg r
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03685] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03689] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03692] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03695] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03698] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03702] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03706] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03709] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03712] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03716] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03719] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03723] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03726] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03730] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03733] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03737] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03740] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03744] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03747] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03751] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03754] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03758] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03761] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03764] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03767] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03771] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03774] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03778] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03781] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03784] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03787] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03791] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03794] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03798] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03801] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03805] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03808] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03811] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03826] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03831] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03834] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03837] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03840] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03844] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03847] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03851] Score is : 769
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03855] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03858] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03861] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03865] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03868] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03872] Single Buffer requirement not met.
